uen,name
S87SS0025J,"Beyond Social Services"
199907527E,"BHASKAR'S ARTS ACADEMY LTD"
200818724G,"BINJAITREE"
S92CC0922L,"Bishan East-Thomson CCC Community Development and Welfare Fund"
T07SS0102D,"Bishan Home for the Intellectually Disabled"
T05CC1908D,"BISHAN NORTH CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
199500566R,"BIZLINK CENTRE SINGAPORE LTD"
201407233M,"BLESSED GRACE SOCIAL SERVICES LIMITED"
T08SS0161K,"Blossom World Society"
S97SS0091H,"Bo Tien Welfare Services Society"
S93SS0141J,"BONE MARROW DONOR PROGRAMME, THE"
S87CC0542B,"BOON LAY CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
T10SS0077G,"Bowling Association for the Disabled (Singapore)"
S62SS0041D,"Boys' Brigade in Singapore"
201534576H,"BOYS' TOWN"
S91CC0795C,"BRADDELL HEIGHTS CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
200200167M,"BRAHM CENTRE LTD."
S75SS0039G,"Breadline Group"
198305430G,"BREAKTHROUGH MISSIONS LTD"
S97SS0137L,"BREAST CANCER FOUNDATION"
S82SS0008F,"BRIGHT HILL EVERGREEN HOME"
200818009N,"BRIGHT HORIZONS FUND"
200105451R,"BRIGHT VISION HOSPITAL"
T05SS0234C,"Brighton Connection"
S93SS0148C,"Buddhist Compassion Relief Tzu-Chi Foundation (Singapore)"
S87CC0463F,"BUKIT BATOK CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
T02CC1597H,"BUKIT BATOK EAST CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
S89CC0658F,"BUKIT GOMBAK CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
S91CC0825C,"BUKIT TIMAH CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
S91CC0827F,"BUONA VISTA CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
200717215M,"BUSINESS CHINA"
T10SS0047C,"Calvary Community Care"
T06SS0077A,"CampusImpact"
201020087W,"CANOSSA MISSION SINGAPORE"
S87CC0462K,"CANOSSAVILLE CHILDREN AND COMMUNITY SERVICES"
S96SS0195L,"Care Community Services Society"
201533890R,"CARE CORNER SENIORS SERVICES LTD."
198105641M,"CARE CORNER SINGAPORE LTD"
201131617N,"CAREGIVERS ALLIANCE LIMITED"
T04SS0073G,"CAREGIVING WELFARE ASSOCIATION"
201000618K,"CARING FLEET SERVICES LIMITED"
T08SS0051C,"CASA RAUDHA WOMEN HOME"
T07CC2006F,"CASHEW CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
S99SS0144E,"CAT WELFARE SOCIETY"
S61SS0167J,"Catholic Welfare Services, Singapore"
201314186Z,"CAUSES FOR ANIMALS (SINGAPORE) LIMITED"
201403108H,"CENTRE 42 LIMITED"
200101825N,"CENTRE FOR FATHERING LIMITED"
T06SS0199E,"Centre for Seniors"
S60SS0003K,"Cerebral Palsy Alliance Singapore"
201133557D,"CHANGI HEALTH FUND (LTD.)"
T02CC1598D,"CHANGI SIMEI CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
200209251R,"CHECKPOINT THEATRE LIMITED"
S68SS0016K,"Chen Su Lan Methodist Children's Home"
T04SS0148G,"Cheng Hong Welfare Service Society"
S86CC0356D,"CHENG SAN - SELETAR CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
199501798C,"CHILD AT STREET 11 LTD."
S93CC0953E,"CHILDCARE AND CHILDREN FUND,"THE"
T00SS0043E,"Children-At-Risk Empowerment Association"
S62SS0031K,"Children's Aid Society"
S92SS0103J,"Children's Cancer Foundation"
S66SS0023F,"Children's Charities Association of Singapore, The"
199202625K,"CHINESE DEVELOPMENT ASSISTANCE COUNCIL"
T03CC1661B,"CHONG PANG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
S99SS0072D,"CHRISTIAN CARE SERVICES (SINGAPORE)"
S87SS0014H,"CHRISTIAN OUTREACH TO THE HANDICAPPED"
T07CC2019K,"CHUA CHU KANG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
201507688M,"CHUA FOUNDATION"
S97SS0106L,"City Harvest Community Services Association"
201021634E,"CLARITY SINGAPORE LIMITED"
S95CC1101F,"CLEMENTI CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
T12SS0028K,"CLUB HEAL"
S92SS0137H,"Club Rainbow (Singapore)"
T00CC1481D,"COMMUNITY CANCER FUND"
200904371Z,"COMPASSION FUND LTD."
T01SS0058F,"Concern & Care Society"
T17CC0001C,"Conservation International Singapore Conservation Trust"
T04CC1786K,"CONSUMERS ASSOCIATION OF SINGAPORE ENDOWMENT FUND"
S96SS0151G,"CORNERSTONE COMMUNITY SERVICES"
S75SS0014F,"COUNSELLING AND CARE CENTRE"
201136224W,"CREST SECONDARY SCHOOL"
200402751C,"D.S. LEE FOUNDATION"
199304358N,"DANCE ENSEMBLE SINGAPORE LTD"
T07CC3022A,"DARUL IHSAN ORPHANAGE"
201425430M,"DAUGHTERS OF TOMORROW LIMITED"
T12SS0228C,"DEAF SPORTS ASSOCIATION (SINGAPORE)"
T09SS0071G,"Design Society, The"
S71SS0043E,"Diabetic Society of Singapore"
201101809W,"DING YI MUSIC COMPANY LTD."
T16CC0008C,"Domestic Employees Welfare Fund"
S92SS0138D,"Dover Park Hospice"
S96SS0170K,"Down Syndrome Association (Singapore)"
200517863N,"DRAMA BOX LTD."
S91SS0096B,"DYSLEXIA ASSOCIATION OF SINGAPORE"
T06CC3002H,"EDUCATION FUND"
T00CC1448L,"ELDERCARE TRUST"
S97SS0164E,"EMCC"
T03SS0051L,"En Community Services Society"
S95SS0164F,"Epilepsy Care Group (Singapore)"
201536378N,"EQUAL-ARK SINGAPORE LTD."
S89CC0679A,"EUNOS CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
S64SS0001E,"Eurasian Association, The"
T04SS0050J,"FAITHACTS"
S85SS0018D,"Family Life Society"
S96SS0134G,"Fei Yue Community Services"
S94SS0031G,"FEI YUE FAMILY SERVICE CENTRE"
S65SS0025D,"Fencing Singapore"
S89CC0688K,"FENGSHAN CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
200408452G,"FILOS COMMUNITY SERVICES LTD."
200108115N,"FOCUS ON THE FAMILY SINGAPORE LIMITED"
200721064R,"FOOD FROM THE HEART"
S82SS0043B,"Football Association of Singapore"
201329363K,"FOOTBALLPLUS LTD."
T05SS0103A,"Foreign Domestic Worker Association for Social Support and Training (FAST)"
199300813R,"FOUNDATION OF ROTARY CLUBS (SINGAPORE) LTD"
201127710M,"FRONTIER DANCELAND LTD."
T16CC0001J,"GAMBAS CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
T02CC1634C,"GARDEN CITY FUND"
201132829N,"GARDENS BY THE BAY"
S86CC0353E,"GENERAL WELFARE FUND"
T01SS0110J,"Geylang East Home For The Aged"
S92CC0856H,"GEYLANG SERAI CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
S67SS0005D,"Girl Guides Singapore"
S61SS0001A,"Girls' Brigade, Singapore , The"
T05SS0028L,"Global Compact Network Singapore"
S99SS0015F,"Good News Community Services"
S88SS0120C,"Grace Lodge"
200302260G,"GUIDE DOGS SINGAPORE LTD."
200201617W,"HABITAT FOR HUMANITY SINGAPORE LTD"
S85SS0047A,"Haemophilia Society of Singapore"
200308081M,"HALOGEN FOUNDATION (SINGAPORE)"
S69SS0057J,"Handicaps Welfare Association"
S89SS0106G,"HCA Hospice Care"
S97SS0023J,"HCSA COMMUNITY SERVICES"
200615440H,"HEALTHSERVE LTD."
T00SS0109G,"HEARTWARE NETWORK"
T09CC0009L,"HEB - ASHRAM HALFWAY HOUSE"
S92SS0027A,"Help Family Service Centre"
S88SS0058F,"Helping Hand, The"
T02CC1588K,"Henderson-Dawson CCC Community Development and Welfare Fund"
S76SS0044D,"HOME NURSING FOUNDATION"
S91CC0782K,"HONG KAH NORTH CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
201405223G,"HONOUR (SINGAPORE) LTD."
S97SS0032G,"HOPE CENTRE (SINGAPORE)"
S98SS0151F,"HOPE WORLDWIDE (SINGAPORE)"
201010093H,"HOPEHOUSE LTD."
T04CC1802K,"HOUGANG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
T04SS0193H,"Humanitarian Organization for Migration Economics"
T10CC0001A,"Hwa Chong International School Education Fund"
T05SS0233G,"I Love Children"
201307803W,"IC@RE HUB LTD."
201136583G,"IC2 PREPHOUSE LIMITED"
201506898W,"IMAGE MISSION LTD."
S92CC0888D,"INFANT JESUS HOMES AND CHILDREN'S CENTRES"
T08CC2100D,"Inmates' Families Support Fund"
200818680E,"INTERCULTURAL THEATRE INSTITUTE LTD."
201532966C,"ISCA CARES LIMITED"
T08CC3005F,"ISEAS RESEARCH FUNDS"
T08CC3006B,"ITE EDUCATION FUND (ITEEF)"
S87CC0436A,"JALAN KAYU CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
199002444H,"JCCI SINGAPORE FOUNDATION LIMITED"
T01SS0100D,"Jia Ying Community Services Society"
200701899H,"JOHN MEAD DANCE COMPANY LTD."
S89SS0113B,"Ju Eng Home for Senior Citizens"
S97CC1260H,"JURONG CENTRAL CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
T11CC0005A,"JURONG SPRING CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
201118604G,"JURONGHEALTH FUND"
S92CC0869A,"KAKI BUKIT CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
S92CC0881K,"KAMPONG CHAI CHEE CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
T10SS0030D,"Kampong Kapor Family Service Centre"
S99SS0044C,"KAMPUNG SENANG CHARITY AND EDUCATION FOUNDATION"
T03CC1651H,"KEAT HONG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
S86CC0397J,"KEBUN BARU CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
S98CC1346C,"KEMBANGAN-CHAI CHEE CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
S92SS0060E,"Kheng Chiu Loke Tin Kee Home"
199600830Z,"KIDNEY DIALYSIS FOUNDATION LIMITED"
197500851C,"KRETA AYER PEOPLE'S THEATRE FOUNDATION"
S89CC0678E,"KRETA AYER- KIM SENG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
201615448C,"KWONG WAI SHIU HOSPITAL"
S97SS0022B,"LAKESIDE FAMILY SERVICES"
199202950W,"LASALLE COLLEGE OF THE ARTS LIMITED"
201700430E,"LAW SOCIETY PRO BONO SERVICES LIMITED"
T04SS0110B,"Lawn Bowls Association for the Disabled (Singapore)"
201204335M,"LEE KUAN YEW FUND FOR BILINGUALISM"
199104843M,"LEE KUAN YEW SCHOLARSHIP FUND"
S66SS0027A,"Lembaga Biasiswa Kenangan Maulud (Prophet Muhammad 's Birthday Memorial Scholarship Fund Board)"
T02SS0150A,"Leukemia and Lymphoma Foundation"
S96SS0100H,"Life Community Services Society"
S99SS0017J,"Life Spring Community Network"
T02CC1619F,"LIGHTHOUSE SCHOOL"
T16CC0002E,"Limbang CCC CDWF"
T08SS0070F,"Ling Kwang Home For Senior Citizens"
S95SS0076A,"LIONS BEFRIENDERS SERVICE ASSOCIATION (SINGAPORE)"
T03SS0068K,"Lions Community Service Foundation (Singapore)"
S80SS0029B,"LIONS HOME FOR THE ELDERS"
T03SS0014A,"Loving Heart Multi-Service Centre"
T04SS0129D,"LOVING HEART MULTI-SERVICE CENTRE (JURONG)"
S91SS0026L,"Lupus Association (Singapore)"
200207586Z,"LUTHERAN COMMUNITY CARE SERVICES LIMITED"
S95CC1109G,"MACPHERSON CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
200201965D,"MAKE-A-WISH FOUNDATION (SINGAPORE) LIMITED"
201526053M,"MAMRE OAKS LIMITED"
S80SS0179G,"Man Fut Tong Nursing Home"
T08CC2092F,"MARINE PARADE LEADERSHIP FOUNDATION"
T07CC2016L,"MARSILING CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
201402049Z,"MARYMOUNT CENTRE"
T08SS0123D,"MCYC Community Services Society"
200306035Z,"MERCY RELIEF LIMITED"
199703727C,"METHODIST SCHOOLS' FOUNDATION"
S81SS0088H,"Methodist Welfare Services"
S63SS0006B,"Metropolitan Young Men's Christian Association Of Singapore"
S94SS0081K,"Metta Welfare Association"
T12CC0003C,"Migrant Workers' Assistance Fund"
T04SS0150L,"MILK (Mainly I Love Kids) Fund"
T12CC0008E,"MIT CLUB OF SINGAPORE SCHOLARSHIP FUND"
200814118E,"MONTFORT CARE"
201014368N,"MORAL HOME FOR THE AGED SICK LIMITED"
201617675H,"MORNING STAR COMMUNITY SERVICES LTD."
S62SS0075C,"Movement for the Intellectually Disabled of Singapore (MINDS)"
T13CC0002A,"MUHAMMADIYAH HEALTH & DAY CARE CENTER"
S89CC0701L,"MUHAMMADIYAH WELFARE HOME"
T00SS0094D,"MUSCULAR DYSTROPHY ASSOCIATION (SINGAPORE)"
200614780G,"MUSICAL THEATRE LTD."
T15CC0003G,"Muslim Missionary Society, Singapore - Jamiyah Welfare Fund"
T10SS0125C,"My Community"
T07SS0086D,"NAM HONG WELFARE SERVICE SOCIETY"
201504648M,"NAM HWA OPERA LIMITED"
201006523M,"NANYANG ACADEMY OF FINE ARTS"
T07CC2021C,"NANYANG CITIZEN'S CONSULTATIVE COMMITTEE WELFARE AND EDUCATION FUND"
198904643G,"NANYANG FINE ARTS FOUNDATION LIMITED"
T08CC3008E,"NANYANG POLYTECHNIC EDUCATION FUND"
200604393R,"NANYANG TECHNOLOGICAL UNIVERSITY"
S84SS0010J,"National Arthritis Foundation"
S68SS0042H,"National Book Development Council of Singapore, The"
S81SS0085J,"National Crime Prevention Council"
S86SS0064F,"National Fire and Civil Emergency Preparedness Council (NFEC)"
200900977G,"NATIONAL GALLERY SINGAPORE"
201623926M,"NATIONAL HEALTHCARE GROUP FUND LIMITED"
T03CC1717K,"NATIONAL HERITAGE FUND"
T00CC1423K,"NATIONAL SKIN CENTRE HEALTH ENDOWMENT FUND"
200604346E,"NATIONAL UNIVERSITY OF SINGAPORE"
200817256W,"NATIONAL VOLUNTEER AND PHILANTHROPY CENTRE"
S91SS0104L,"National Youth Achievement Award Association, The"
S61SS0142H,"Nature Society (Singapore)"
T05CC1897G,"NCC RESEARCH FUND"
T03CC1692B,"NCSS CHARITABLE FUND"
S88CC0604C,"NEE SOON SOUTH CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
T03SS0118J,"Neighbour Ring Community Services"
S63SS0051C,"Netball Singapore"
T06SS0166B,"New Charis Mission, The"
T04SS0026C,"New Hope Community Services"
T00SS0057E,"NEW LIFE COMMUNITY SERVICES"
201411304Z,"NEW LIFE STORIES LIMITED"
201114924K,"NEW OPERA SINGAPORE LTD."
T08CC3009A,"NGEE ANN POLYTECHNIC FUND"
201221584C,"NINE YEARS THEATRE LTD."
T00CC1410F,"NNI HEALTH ENDOWMENT FUND"
T06CC1963D,"NNI HEALTH RESEARCH ENDOWMENT FUND"
T05SS0171L,"NOAH'S ARK COMPANION ANIMAL RESCUE & EDUCATION SOCIETY"
200615271H,"NORTHLIGHT SCHOOL"
S99CC1354K,"NTUC EDUCATION AND TRAINING FUND"
T09CC0008D,"NTUC-U CARE FUND"
T01CC1516L,"NUH HEALTH RESEARCH ENDOWMENT FUND"
201203593Z,"NUHS FUND LIMITED"
200416313W,"NULIFE CARE & COUNSELLING SERVICES LIMITED"
200500354G,"NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE"
200905934E,"O SCHOOL LTD."
T04SS0047J,"O'Joy Care Services"
200107383N,"ODYSSEY DANCE THEATRE LTD"
201427191H,"OH OPEN HOUSE LIMITED"
T04SS0143E,"ONE HOPE CENTRE"
T08SS0160C,"OnePeople.sg"
200809663K,"OPERAVIVA LIMITED"
201002361G,"ORCHESTRA OF THE MUSIC MAKERS LTD."
201229915M,"PANGDEMONIUM THEATRE COMPANY LTD."
T02CC1585L,"PAP COMMUNITY FOUNDATION - CHARITY DIVISION"
S96SS0203J,"Parkinson Society Singapore"
T02SS0222B,"PASIR PANJANG HILL COMMUNITY SERVICES CENTRE"
T07CC2015D,"PASIR RIS EAST CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
S98CC1310A,"PASIR RIS WEST CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
T02SS0100J,"PAVE"
S91CC0799J,"PAYA LEBAR CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
T07CC3010D,"PEOPLE'S ASSOCIATION - (COMMUNITY DEVELOPMENT COUNCIL PROJECT FUND MANAGEMENT COMMITTEE)"
T07CC3021E,"PEOPLE'S ASSOCIATION COMMUNITY CENTRES/CLUBS BUILDING FUND"
T07CC3011L,"PEOPLE'S ASSOCIATION COMMUNITY DEVELOPMENT FUND"
S64SS0011K,"Persatuan Pemudi Islam Singapura (PPIS)"
S48SS0014A,"Persatuan Persuratan Pemuda Pemudi Melayu (Malay Youth Literary Association)"
S71SS0014H,"PERTAPIS EDUCATION AND WELFARE CENTRE"
T02CC1640B,"PIONEER CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
201333807K,"PLAYEUM LTD."
T06CC1973J,"POTONG PASIR CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
S75SS0022H,"Presbyterian Community Services"
T03CC1669C,"PRESERVATION OF MONUMENTS FUND"
T02SS0212H,"Promisedland Community Services"
S95SS0069F,"Public Free Clinic Society"
T12CC0002G,"Punggol Coast CCC Community Development and Welfare Fund"
T07CC2010B,"PUNGGOL EAST CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
T07CC2007B,"PUNGGOL NORTH CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
T16CC0004H,"Punggol West CCC Community Development and Welfare Fund"
201532866G,"QUANTEDGE FOUNDATION (SINGAPORE) LTD."
S89CC0668L,"QUEENSTOWN CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
S86CC0339D,"RADIN MAS CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
200910530Z,"RAHMATAN LIL ALAMIN FOUNDATION LTD."
S92SS0061A,"RAINBOW CENTRE, SINGAPORE"
S89CC0666H,"RAMAKRISHNA MISSION-BOYS' HOME, THE"
201101201D,"RAW MOVES LTD."
S98SS0144L,"REACH COMMUNITY SERVICES SOCIETY"
S81SS0064C,"Realm of Tranquility"
201018593M,"REN CI HOSPITAL"
T03CC1740J,"Republic Polytechnic Education Fund"
S98SS0167J,"Restroom Association (Singapore)"
S82SS0081H,"Riding for the Disabled Association of Singapore"
200711586W,"RIVERLIFE COMMUNITY SERVICES LIMITED"
S99SS0039L,"RSVP Singapore The Organisation of Senior Volunteers"
201009329W,"S M JALEEL FOUNDATION LTD."
201323131D,"SAF CARE FUND"
T08SS0025E,"SAGE COUNSELLING CENTRE"
199508102H,"SALEM WELFARE SERVICES LTD"
T07CC3012G,"SALVATION ARMY, THE"
S69SS0047D,"Samaritans of Singapore"
S89CC0702G,"SASCO SENIOR CITIZENS' HOME"
S96SS0160E,"SATHYA SAI SOCIAL SERVICE (SINGAPORE)"
S89CC0680J,"SAWL SCHOLARSHIP FUND"
200903483M,"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE"
T08CC3014D,"SCIENCE CENTRE BOARD SPONSORSHIP FUND"
T09CC0010H,"SCWO-Service Fund"
T00CC1406K,"SCWO-Star Shelter"
S99SS0111B,"Securities Investors Association (Singapore)"
T06CC1941B,"SEMBAWANG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
T11SS0143D,"Sembawang Family Service Centre"
T07CC2053K,"Sengkang Central CCC Community Development and Welfare Fund"
S99CC1387B,"Sengkang South CCC Community Development and Welfare Fund"
T06CC1994D,"SENGKANG WEST CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
S80SS0135C,"SERANGOON CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
S99SS0090L,"Serangoon Moral Family Service Centre"
T09CC0007H,"Seventy Times Seven"
200822425N,"SG ENABLE LTD."
S95SS0103B,"Shan You Counselling Centre"
200823086Z,"SHARED SERVICES FOR CHARITIES LIMITED"
S76SS0021F,"SHINE Children and Youth Services"
S62SS0055D,"Sian Chay Medical Institution"
S98SS0018L,"SIKH WELFARE COUNCIL"
T05SS0315B,"Silver Ribbon (Singapore)"
201615577D,"SING LIT STATION LIMITED"
200615018Z,"SING'THEATRE LTD."
S61SS0083L,"Singapore After-Care Association"
S75SS0005H,"Singapore Anglican Community Services"
S72SS0018H,"Singapore Anti-Narcotics Association"
201330746G,"SINGAPORE ART MUSEUM"
200500775C,"SINGAPORE ARTS SCHOOL LTD."
S68SS0038A,"Singapore Association for Mental Health, The"
S62SS0061C,"SINGAPORE ASSOCIATION FOR THE DEAF, THE"
S61SS0119J,"Singapore Association of the Visually Handicapped"
S61SS0032A,"Singapore Badminton Association"
S60SS0022B,"SINGAPORE BASEBALL AND SOFTBALL ASSOCIATION"
S66SS0011J,"Singapore Bowling Federation"
S69SS0009J,"Singapore Buddhist Free Clinic"
S96SS0013K,"Singapore Buddhist Lodge Education Foundation"
S96SS0012C,"Singapore Buddhist Lodge Welfare Foundation"
S81SS0060H,"Singapore Buddhist Welfare Services"
201316694R,"SINGAPORE BUSINESS FEDERATION FOUNDATION LIMITED"
S65SS0033F,"Singapore Cancer Society"
S71SS0035C,"SINGAPORE CANOE FEDERATION"
S61SS0094A,"SINGAPORE CHESS FEDERATION (PERSEKUTUAN CHATUR SINGAPURA)"
S62SS0057G,"Singapore Children's Society"
196600028C,"SINGAPORE CHINESE CHAMBER OF COMMERCE FOUNDATION"
201309577Z,"SINGAPORE CHINESE CULTURAL CENTRE"
201419196W,"SINGAPORE CHINESE DANCE THEATRE"
199603271D,"SINGAPORE CHINESE ORCHESTRA COMPANY LIMITED"
S77SS0040C,"SINGAPORE CHRISTIAN HOME"
201109599Z,"SINGAPORE CHUNG HWA MEDICAL INSTITUTION"
198601162H,"SINGAPORE CLAN FOUNDATION"
S62SS0079J,"SINGAPORE CONTRACT BRIDGE ASSOCIATION, THE"
S58SS0009A,"SINGAPORE CYCLING FEDERATION"
198702432N,"SINGAPORE DANCE THEATRE LIMITED"
S73SS0035B,"Singapore Disability Sports Council"
S87SS0101F,"Singapore Dragon Boat Association"
199507762R,"SINGAPORE ENVIRONMENT COUNCIL"
S61SS0189L,"Singapore Golf Association"
T03SS0136E,"SINGAPORE GYMNASTICS"
S70SS0007H,"Singapore Heart Foundation"
S87SS0042J,"SINGAPORE HERITAGE SOCIETY"
S92SS0120J,"Singapore Hockey Federation"
S95SS0013E,"SINGAPORE HOSPICE COUNCIL"
T02SS0138C,"SINGAPORE ICE HOCKEY ASSOCIATION"
S98SS0168E,"Singapore Ice Skating Association"
S90SS0098L,"Singapore Indian Development Association (SINDA)"
T03CC1685G,"SINGAPORE INSTITUTE OF INTERNATIONAL AFFAIRS ENDOWMENT FUND"
200917667D,"SINGAPORE INSTITUTE OF TECHNOLOGY"
199404067R,"SINGAPORE INTERNATIONAL FILM FESTIVAL LTD"
199103796W,"SINGAPORE INTERNATIONAL FOUNDATION"
S65SS0037A,"SINGAPORE JUDO FEDERATION"
S97SS0063G,"Singapore Kindness Movement"
S61SS0121B,"Singapore Leprosy Relief Association"
S67SS0031B,"Singapore Life Saving Society, The"
T03CC1733C,"SINGAPORE LSE TRUST, THE"
200000267Z,"SINGAPORE MANAGEMENT UNIVERSITY"
200102355R,"SINGAPORE MILLENNIUM FOUNDATION LIMITED"
T09SS0030B,"SINGAPORE MODERN PENTATHLON ASSOCIATION"
S69SS0025B,"SINGAPORE MOTOR SPORTS ASSOCIATION"
200812207D,"SINGAPORE NATIONAL PARALYMPIC COUNCIL LTD."
S96SS0196G,"Singapore National Stroke Association"
201003786C,"SINGAPORE OLYMPIC FOUNDATION"
199502248C,"SINGAPORE PHILATELIC MUSEUM"
S63SS0018K,"Singapore Planned Families Association"
T08CC3015L,"SINGAPORE POLYTECHNIC ENDOWMENT FUND"
200300910M,"SINGAPORE PRESS HOLDINGS FOUNDATION LIMITED"
S86CC0370E,"SINGAPORE RED CROSS SOCIETY"
199301614N,"SINGAPORE REPERTORY THEATRE LTD"
T09SS0253D,"SINGAPORE ROAD SAFETY COUNCIL"
S66SS0003G,"SINGAPORE RUGBY UNION"
S66SS0013A,"Singapore Sailing Federation"
S85CC0196D,"SINGAPORE SCOUT ASSOCIATION, THE"
S60SS0012H,"SINGAPORE SEPAKTAKRAW FEDERATION (PERSES)"
S65SS0039D,"Singapore Shooting Association, The"
S76SS0039A,"Singapore Silat Federation (Persekutuan Silat Singapore) (PERSISI)"
S70SS0024H,"SINGAPORE SQUASH RACKETS ASSOCIATION"
S61SS0088B,"Singapore Swimming Association"
197801125M,"SINGAPORE SYMPHONIA COMPANY LIMITED"
S65SS0005E,"Singapore Table Tennis Association"
S74SS0031A,"Singapore Taekwondo Federation"
199703832N,"SINGAPORE TECHNOLOGIES ENDOWMENT PROGRAMME LIMITED"
S62SS0049E,"Singapore Tennis Association"
