Target Name of Organisation,Target UEN,Target Sector,Target Classification,Neighbour 1 Name of Organisation,Neighbour 1 UEN,Neighbour 1 Sector,Neighbour 1 Classification,Neighbour 2 Name of Organisation,Neighbour 2 UEN,Neighbour 2 Sector,Neighbour 2 Classification,Neighbour 3 Name of Organisation,Neighbour 3 UEN,Neighbour 3 Sector,Neighbour 3 Classification,Neighbour 4 Name of Organisation,Neighbour 4 UEN,Neighbour 4 Sector,Neighbour 4 Classification,Neighbour 5 Name of Organisation,Neighbour 5 UEN,Neighbour 5 Sector,Neighbour 5 Classification,Neighbour 6 Name of Organisation,Neighbour 6 UEN,Neighbour 6 Sector,Neighbour 6 Classification,Neighbour 7 Name of Organisation,Neighbour 7 UEN,Neighbour 7 Sector,Neighbour 7 Classification,Neighbour 8 Name of Organisation,Neighbour 8 UEN,Neighbour 8 Sector,Neighbour 8 Classification,Neighbour 9 Name of Organisation,Neighbour 9 UEN,Neighbour 9 Sector,Neighbour 9 Classification,Neighbour 10 Name of Organisation,Neighbour 10 UEN,Neighbour 10 Sector,Neighbour 10 Classification,Neighbour 11 Name of Organisation,Neighbour 11 UEN,Neighbour 11 Sector,Neighbour 11 Classification,Neighbour 12 Name of Organisation,Neighbour 12 UEN,Neighbour 12 Sector,Neighbour 12 Classification,Neighbour 13 Name of Organisation,Neighbour 13 UEN,Neighbour 13 Sector,Neighbour 13 Classification,Neighbour 14 Name of Organisation,Neighbour 14 UEN,Neighbour 14 Sector,Neighbour 14 Classification,Neighbour 15 Name of Organisation,Neighbour 15 UEN,Neighbour 15 Sector,Neighbour 15 Classification
RADIN MAS CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S86CC0339D,Community,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAKI BUKIT CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S92CC0869A,Community,North East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEBUN BARU CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S86CC0397J,Community,North West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FENGSHAN CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S89CC0688K,Community,South East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUKIT BATOK CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S87CC0463F,Community,South West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Friends of The University of Warwick in Singapore,T14CC0003B,Education,"Foreign Educational Institutions/Funds,Foundations & Trusts",SORBONNEASSAS INTERNATIONAL LAW SCHOOL  ASIA LIMITED,201117141R,Education,"Foreign Educational Institutions/Funds,Local Educational Institutions/Funds",SPECTRA SECONDARY SCHOOL,201300697M,Education,Local Educational Institutions/Funds,DAS ACADEMY LTD.,201003689Z,Education,Local Educational Institutions/Funds,DAS INTERNATIONAL SERVICES LTD.,201111119G,Education,Local Educational Institutions/Funds,NANYANG KINDERGARTEN 51 CORONATION ROAD BUILDING FUND,T12CC0005F,Education,Local Educational Institutions/Funds,"THE CULINARY INSTITUTE OF AMERICA, SINGAPORE, LTD.",201018895W,Education,Foreign Educational Institutions/Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
METHODIST SCHOOLS' FOUNDATION,199703727C,Education,Foundations & Trusts,SWISS SCHOOL IN SINGAPORE,196700214W,Education,Foreign Educational Institutions/Funds,UNITED WORLD COLLEGE OF SOUTH EAST ASIA,197000825H,Education,Foreign Educational Institutions/Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hwa Chong International School Education Fund,T10CC0001A,Education,Local Educational Institutions/Funds,SWISS SCHOOL IN SINGAPORE,196700214W,Education,Foreign Educational Institutions/Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Girl Guides Singapore,S67SS0005D,Education,Uniformed Groups,ACS (International) Education Fund,T07CC2027A,Education,Local Educational Institutions/Funds,Girl Guides Singapore,S67SS0005D,Education,Uniformed Groups,"SINGAPORE SCOUT ASSOCIATION, THE",S85CC0196D,Education,Uniformed Groups,SOON HONG KEE SCHOLARSHIP TRUST FUND,S85CC0257D,Education,Foundations & Trusts,JAPANESE SCHOOL,S86CC0384E,Education,Foreign Educational Institutions/Funds,ONG TENG CHEONG LABOUR LEADERSHIP INSTITUTE,199001767N,Education,Others,BRITISH COUNCIL (SINGAPORE) LIMITED,201202363R,Education,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATIONAL SKIN CENTRE HEALTH ENDOWMENT FUND,T00CC1423K,Health,Cluster/Hospital Funds,SINGAPORE THONG CHAI MEDICAL INSTITUTION,196000175E,Health,TCM Clinic,LIONS HOME FOR THE ELDERS,S80SS0029B,Health,"Day Rehabilitation Centre,Nursing Home",Diabeties Singapore,S71SS0043E,Health,"Diseases/Illnessess Support Group,Other Communitybased Services",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REN CI HOSPITAL,201018593M,Health,"Community/Chronic Sick Hospital,Day Rehabilitation Centre,Nursing Home",REN CI HOSPITAL,201018593M,Health,"Community/Chronic Sick Hospital,Day Rehabilitation Centre,Nursing Home",BRIGHT VISION HOSPITAL,200105451R,Health,"Community/Chronic Sick Hospital,Day Rehabilitation Centre,Hospice",ASSISI HOSPICE,201208993Z,Health,Hospice,All Saints Home,S87SS0068F,Health,"Day Rehabilitation Centre,Nursing Home,Other Communitybased Services",ST LUKE'S ELDERCARE LTD.,199904873Z,Health,"Day Rehabilitation Centre,Home Care,Nursing Home,Other Communitybased Services,Others",SUNLOVE ABODE FOR INTELLECTUALLYINFIRMED LTD,199202859C,Health,"Day Rehabilitation Centre,Home Care,Nursing Home,Other Communitybased Services,Others","BONE MARROW DONOR PROGRAMME, THE",S93SS0141J,Health,Diseases/Illnessess Support Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
